                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3646,                 5.9909,                 4.4751,                0.00104,                0.20588,                0.00071,                0.00028,                 3.3117,                 4.8318,                 4.1528,                 0.0964,                 0.0004,                 0.0004
                      1,                 3.3979,                 5.4894,                 4.2611,                0.00105,                0.20588,                0.00075,                0.00028,                 3.3025,                  4.638,                 4.1412,               0.091896,             0.00089554,             0.00089554
                      2,                 3.6611,                 5.1545,                 4.3556,                0.00104,                0.20588,                0.00076,                0.00028,                 3.3009,                 4.5186,                 4.1314,               0.087386,              0.0013861,              0.0013861
                      3,                 3.1693,                 4.7493,                 4.2723,                0.00105,                0.20588,                0.00074,                0.00029,                 3.2983,                 4.4683,                 4.1242,               0.082872,              0.0018718,              0.0018718
                      4,                 3.7459,                 4.5799,                 4.2259,                0.00104,                0.20588,                0.00082,                0.00028,                 3.2984,                 4.4236,                 4.1152,               0.078352,              0.0023525,              0.0023525
                      5,                 3.5195,                 4.9018,                 4.1524,                0.00104,                0.20588,                0.00076,                0.00029,                 3.2944,                 4.3942,                 4.1077,               0.073828,              0.0028282,              0.0028282
                      6,                 3.7341,                 4.8382,                 4.2038,                0.00096,                0.19118,                 0.0007,                0.00031,                 3.2836,                 4.3638,                  4.099,               0.069299,               0.003299,               0.003299
                      7,                 3.9346,                 4.8216,                 4.1918,                 0.0012,                0.20588,                0.00083,                0.00032,                 3.2809,                  4.346,                 4.0926,               0.064765,              0.0037649,              0.0037649
                      8,                 3.4026,                 4.3426,                 4.1603,                0.00177,                0.07353,                0.00095,                0.00013,                 3.2753,                   4.33,                 4.0837,               0.060226,              0.0042258,              0.0042258
                      9,                 3.4645,                 4.2923,                 4.3105,                0.00141,                0.05882,                0.00075,                0.00011,                 3.2728,                 4.3239,                 4.0787,               0.055682,              0.0046817,              0.0046817
                     10,                 3.5828,                 3.9081,                  4.367,                0.00105,                0.04412,                0.00055,                  7e-05,                 3.2704,                 4.3219,                 4.0744,               0.051133,              0.0051327,              0.0051327
                     11,                 3.2435,                 4.0298,                  4.139,                0.00035,                0.01471,                0.00018,                  4e-05,                  3.268,                 4.3206,                 4.0713,               0.046579,              0.0055787,              0.0055787
                     12,                 3.6906,                 3.9551,                 4.3495,                0.00035,                0.01471,                0.00018,                  4e-05,                 3.2671,                 4.3229,                 4.0702,                0.04202,              0.0060198,              0.0060198
                     13,                 3.6542,                 3.4409,                 4.1303,                0.00035,                0.01471,                0.00018,                  4e-05,                 3.2649,                 4.3241,                 4.0679,               0.037456,               0.006456,               0.006456
                     14,                 3.3005,                 4.0934,                 4.0487,                0.00036,                0.01471,                0.00018,                  4e-05,                 3.2627,                 4.3192,                 4.0658,               0.032887,              0.0068872,              0.0068872
                     15,                 3.3226,                 3.3514,                 4.0019,                0.00036,                0.01471,                0.00018,                  4e-05,                 3.2611,                 4.3054,                 4.0637,               0.028313,              0.0073134,              0.0073134
                     16,                 3.1747,                 3.0497,                 3.8756,                0.00142,                0.05882,                0.00075,                0.00018,                 3.2585,                 4.2148,                 4.0479,               0.023735,              0.0077347,              0.0077347
                     17,                 3.1855,                 3.2537,                 3.7952,                0.00323,                0.16176,                0.03391,                0.01624,                 3.2039,                 4.0047,                 4.0236,               0.019151,              0.0081511,              0.0081511
                     18,                 2.8907,                 3.0733,                 3.8752,                0.00404,                   0.25,                0.03686,                0.02187,                 3.1405,                 3.8584,                  3.982,               0.014562,              0.0085625,              0.0085625
                     19,                 2.9878,                 3.0372,                 3.6593,                0.00627,                0.45588,                0.08134,                0.01853,                 3.1253,                 3.2365,                 3.7887,              0.0099689,              0.0089689,              0.0089689
                     20,                 3.0595,                 3.0373,                 3.6564,                0.00753,                0.69118,                0.17077,                0.04966,                 2.6599,                 2.9491,                 3.5699,                0.00901,                0.00901,                0.00901
                     21,                 2.9743,                 3.5749,                 3.3534,                0.02626,                0.13235,                0.01612,                0.00467,                 2.8021,                 36.519,                 3.7783,                0.00901,                0.00901,                0.00901
                     22,                 2.6406,                 3.3561,                 3.4517,                0.27252,                0.13235,                0.14517,                0.03497,                 2.5598,                  3.088,                 3.7774,              0.0089605,              0.0089605,              0.0089605
                     23,                   2.96,                 3.1219,                 3.2691,                0.08179,                0.20588,                0.13215,                 0.0363,                 2.6336,                 17.478,                 6.9943,               0.008911,               0.008911,               0.008911
                     24,                 2.7776,                 2.4921,                 3.3548,                0.19061,                0.16176,                0.16262,                0.05774,                 2.4609,                 3.1177,                 4.8079,              0.0088615,              0.0088615,              0.0088615
                     25,                 2.7298,                 2.6045,                 3.2197,                0.07655,                0.32353,                0.14625,                0.05182,                 2.8875,                 30.794,                  13.78,               0.008812,               0.008812,               0.008812
                     26,                 2.5323,                 2.7277,                 3.0316,                 0.4266,                0.13235,                 0.1239,                0.04033,                 3.0933,                 4.1907,                 10.209,              0.0087625,              0.0087625,              0.0087625
                     27,                 2.6979,                 2.4772,                 3.1518,                  0.236,                0.13235,                0.07557,                0.02337,                 3.2726,                 4.5603,                 9.3526,               0.008713,               0.008713,               0.008713
                     28,                 2.3857,                 2.4044,                 3.0585,                0.38909,                0.16176,                0.15252,                0.05871,                 3.3948,                 3.0026,                 10.814,              0.0086635,              0.0086635,              0.0086635
                     29,                 2.6285,                 2.3913,                 3.0785,                0.22152,                   0.25,                0.19548,                0.08534,                 2.5871,                 8.6292,                 8.9896,               0.008614,               0.008614,               0.008614
                     30,                  2.723,                 2.1833,                 2.8327,                0.41221,                0.17647,                0.18334,                0.08643,                 2.1839,                 5.2681,                 4.1973,              0.0085645,              0.0085645,              0.0085645
                     31,                 2.5452,                 2.7476,                 2.5585,                0.04926,                0.23529,                0.18247,                0.06783,                 2.2138,                 34.519,                 4.7503,               0.008515,               0.008515,               0.008515
                     32,                 2.4912,                 2.0181,                 2.8495,                 0.5105,                0.70588,                0.56508,                 0.2646,                 2.0079,                 2.3386,                 3.1304,              0.0084655,              0.0084655,              0.0084655
                     33,                 2.4502,                 2.1494,                 2.8314,                0.07637,                0.26471,                0.19154,                0.10001,                 2.1041,                 29.101,                 3.9869,               0.008416,               0.008416,               0.008416
                     34,                 2.3206,                 2.2804,                  2.519,                0.47489,                0.11765,                0.11413,                0.05811,                 2.4396,                 4.4889,                 3.8101,              0.0083665,              0.0083665,              0.0083665
                     35,                 2.3714,                 2.3289,                 2.5436,                0.60125,                0.51005,                0.59671,                0.27672,                 2.0235,                 2.3476,                 2.9678,               0.008317,               0.008317,               0.008317
                     36,                 2.2172,                 2.3962,                 2.5711,                0.49234,                0.52941,                0.48529,                0.22593,                 1.9919,                 2.4324,                 3.0837,              0.0082675,              0.0082675,              0.0082675
                     37,                 2.5954,                 2.2144,                 2.5566,                0.63402,                0.64706,                0.69805,                0.35943,                   1.96,                 1.8918,                 2.7282,               0.008218,               0.008218,               0.008218
                     38,                   2.15,                  2.006,                 2.3981,                0.65701,                    0.5,                0.56325,                0.25962,                  1.999,                  2.174,                 2.7664,              0.0081685,              0.0081685,              0.0081685
                     39,                 2.2881,                 1.8867,                 2.3691,                0.82426,                    0.5,                  0.665,                0.32516,                 1.9267,                 1.9055,                  2.575,               0.008119,               0.008119,               0.008119
                     40,                 2.1452,                 1.8102,                 2.2548,                0.73324,                0.52555,                0.63068,                0.29489,                  1.978,                 1.9795,                  2.762,              0.0080695,              0.0080695,              0.0080695
                     41,                 2.0863,                  1.855,                  2.311,                0.82472,                0.48529,                0.57602,                0.36404,                 1.7016,                  2.082,                 2.3506,                0.00802,                0.00802,                0.00802
                     42,                  2.002,                 1.7458,                 2.0906,                0.48863,                0.43567,                0.46934,                0.17989,                 2.1759,                 1.9398,                 2.9738,              0.0079705,              0.0079705,              0.0079705
                     43,                 2.5399,                 1.9063,                 2.4572,                0.79397,                0.14706,                0.21495,                 0.1041,                 2.0367,                 2.6245,                 2.5767,               0.007921,               0.007921,               0.007921
                     44,                 2.0627,                 1.8814,                 2.2267,                0.88815,                0.51471,                0.64527,                0.38249,                 1.6874,                 2.0202,                 2.1768,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.9554,                 1.6175,                 2.0901,                 0.8495,                0.74713,                0.87412,                0.46108,                 1.8245,                 1.7815,                 2.3503,               0.007822,               0.007822,               0.007822
                     46,                 1.9873,                 1.6181,                 2.1313,                0.90169,                0.67442,                0.81411,                0.46654,                 1.7008,                 1.6925,                 2.3296,              0.0077725,              0.0077725,              0.0077725
                     47,                   2.07,                 1.6773,                  2.145,                0.82448,                0.60294,                0.78338,                0.39851,                 1.8244,                 1.6506,                 2.3581,               0.007723,               0.007723,               0.007723
                     48,                 2.0263,                 1.6581,                 2.2869,                0.46332,                   0.75,                0.52301,                0.27919,                   1.74,                 3.7277,                 2.5631,              0.0076735,              0.0076735,              0.0076735
                     49,                 2.0647,                 1.7274,                 2.1867,                0.47477,                0.66176,                0.55416,                 0.2605,                 2.0033,                 2.4093,                 2.4642,               0.007624,               0.007624,               0.007624
                     50,                 1.7451,                 1.4705,                  1.981,                0.75479,                0.73529,                0.79257,                 0.4408,                 1.7611,                 2.2155,                  2.303,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.8203,                 1.6693,                 1.8778,                0.87362,                0.79412,                0.88602,                0.54082,                 1.5355,                 1.3985,                 2.0217,               0.007525,               0.007525,               0.007525
                     52,                 1.7235,                 1.5236,                 1.7954,                 0.8591,                0.76471,                0.89673,                0.52634,                 1.5452,                 1.5577,                 1.9884,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.5939,                  1.468,                 1.8448,                 0.9131,                0.86765,                0.95517,                0.63059,                 1.4109,                 1.2532,                 2.0163,               0.007426,               0.007426,               0.007426
                     54,                 1.5625,                  1.492,                  1.866,                0.93978,                0.91176,                0.97019,                0.52706,                 1.6807,                 1.3389,                 2.2083,              0.0073765,              0.0073765,              0.0073765
                     55,                  1.819,                 1.4955,                 1.9925,                0.88929,                0.82353,                 0.9372,                0.61093,                 1.5242,                 1.3657,                 2.1864,               0.007327,               0.007327,               0.007327
                     56,                 1.4269,                 1.3263,                 1.7043,                 0.9787,                0.67581,                0.89668,                0.56114,                 1.5069,                 1.3319,                 2.0254,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.7852,                  1.336,                 1.7574,                0.87582,                0.72606,                0.84164,                0.58149,                 1.4803,                 1.6841,                 2.0105,               0.007228,               0.007228,               0.007228
                     58,                 1.5914,                 1.4057,                 1.6817,                0.83359,                0.95767,                0.95789,                0.59157,                 1.5192,                 1.2598,                 1.9861,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.6823,                 1.3119,                 1.7437,                0.97988,                0.71626,                0.87014,                0.55567,                 1.6723,                 1.6712,                 2.0962,               0.007129,               0.007129,               0.007129
                     60,                 1.5199,                 1.2416,                  1.693,                0.93145,                0.72059,                0.84239,                0.46874,                 1.6512,                   1.76,                 2.0293,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.5868,                 1.2737,                  1.759,                0.83891,                0.70588,                0.79324,                0.42341,                 1.7092,                 1.6611,                 2.0426,                0.00703,                0.00703,                0.00703
                     62,                 1.5797,                 1.4313,                 1.6326,                0.95179,                0.86765,                0.96038,                 0.6888,                 1.2949,                 1.1116,                 1.7644,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.5963,                 1.2814,                 1.7171,                0.95036,                0.92647,                 0.9708,                0.65877,                 1.2991,                 1.0925,                 1.7723,               0.006931,               0.006931,               0.006931
                     64,                 1.4671,                 1.2336,                 1.7676,                0.83486,                0.94118,                0.94842,                0.59861,                 1.4689,                  1.151,                 1.8799,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.6175,                 1.3272,                 1.8187,                0.88545,                0.94118,                0.95372,                0.69987,                  1.241,                  1.063,                 1.7582,               0.006832,               0.006832,               0.006832
                     66,                 1.3095,                  1.214,                 1.5845,                0.87802,                0.95271,                0.95447,                0.59621,                 1.4042,                 1.6394,                 1.7911,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4239,                 1.2168,                 1.6628,                0.92869,                0.98529,                0.96498,                  0.649,                 1.1858,                 1.2328,                 1.6236,               0.006733,               0.006733,               0.006733
                     68,                 1.2796,                 1.1706,                 1.5398,                0.94522,                0.89706,                0.97752,                0.61642,                  1.159,                 1.5438,                 1.6166,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4001,                  1.117,                 1.5216,                0.95262,                0.95588,                0.95435,                0.67046,                 1.1776,                 1.3435,                 1.6049,               0.006634,               0.006634,               0.006634
                     70,                 1.5284,                 1.1886,                 1.6288,                0.95571,                0.95206,                0.97778,                0.63967,                 1.1539,                 1.1346,                 1.6135,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4282,                 1.3028,                 1.7261,                      1,                0.93987,                0.98498,                0.68962,                 1.1377,                 1.3337,                 1.6363,               0.006535,               0.006535,               0.006535
                     72,                 1.2829,                 1.0752,                 1.4918,                0.93787,                0.98529,                 0.9825,                0.74215,                 1.0761,                  1.022,                 1.4996,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.306,                 1.0899,                 1.4102,                0.88025,                0.98529,                0.95759,                0.69303,                 1.0917,                 1.3204,                 1.5405,               0.006436,               0.006436,               0.006436
                     74,                 1.3129,                 1.1667,                 1.5909,                0.89849,                0.91113,                0.94538,                0.66261,                 1.1333,                 1.0827,                 1.5355,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1309,                 1.0438,                 1.3892,                0.89785,                 0.9049,                 0.9562,                0.66292,                 1.1079,                 1.1096,                 1.5143,               0.006337,               0.006337,               0.006337
                     76,                 1.3928,                 1.2105,                 1.6725,                0.94364,                0.98529,                0.97715,                0.75005,                0.99628,                 1.0714,                   1.51,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1939,                 1.0382,                  1.456,                0.94211,                0.95728,                0.98105,                0.72787,                 1.0086,                  1.002,                 1.4742,               0.006238,               0.006238,               0.006238
                     78,                 1.2377,                 1.0885,                 1.5652,                  0.921,                0.95588,                0.97445,                0.75001,                0.97872,                 1.1072,                 1.4634,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2044,                 1.0629,                 1.5575,                0.94499,                0.94118,                0.97707,                0.71663,                 1.0341,                 1.1831,                 1.4845,               0.006139,               0.006139,               0.006139
                     80,                 1.2385,                 1.0727,                 1.4689,                      1,                0.93512,                0.97992,                 0.7601,                0.93812,                0.91974,                 1.3861,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1332,                 1.0042,                 1.3549,                0.98475,                0.94998,                0.98439,                0.75628,                 1.0727,                0.98133,                 1.4471,                0.00604,                0.00604,                0.00604
                     82,                 1.2645,                 1.0219,                 1.4339,                0.96076,                0.94118,                0.97932,                0.74176,                  1.039,                0.91584,                 1.4628,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2998,                 1.1504,                 1.4595,                0.90265,                0.95455,                0.95807,                0.72673,                0.96656,                 1.3979,                 1.4365,               0.005941,               0.005941,               0.005941
                     84,                 1.2704,                 1.1303,                 1.5504,                      1,                0.96914,                0.98682,                0.74409,                0.89804,                 0.9173,                 1.3316,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2098,                 1.1152,                  1.441,                0.99211,                0.92647,                0.98333,                0.70189,                0.97636,                0.87593,                 1.3838,               0.005842,               0.005842,               0.005842
                     86,                 1.2747,                 1.0992,                  1.482,                0.99562,                0.97059,                0.98466,                0.76053,                0.87016,                0.87781,                 1.3214,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1615,                0.99978,                 1.4474,                0.98258,                0.97059,                0.98713,                0.74701,                0.97857,                0.95315,                 1.4184,               0.005743,               0.005743,               0.005743
                     88,                 1.1459,                0.94453,                 1.4207,                0.91387,                0.93628,                0.97829,                  0.704,                0.97032,                 1.0196,                 1.4365,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.1532,                 0.9684,                 1.4496,                0.97053,                0.96875,                0.98583,                0.78508,                0.96468,                0.87811,                 1.4239,               0.005644,               0.005644,               0.005644
                     90,                 1.1955,                0.95883,                 1.3644,                0.96896,                0.97059,                0.98368,                 0.7434,                0.90043,                0.96549,                 1.3556,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.1011,                0.95594,                 1.3733,                0.88751,                0.98529,                0.98711,                0.77233,                0.89814,                 1.3384,                 1.4257,               0.005545,               0.005545,               0.005545
                     92,                 1.0908,                 0.9986,                 1.3632,                0.84587,                0.96849,                0.91489,                0.70412,                0.96527,                 1.0606,                 1.4638,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.1353,                 1.0773,                 1.4872,                0.98445,                0.97059,                0.98245,                0.75414,                0.95962,                 1.0235,                 1.3567,               0.005446,               0.005446,               0.005446
                     94,                 1.1311,                0.94685,                 1.3819,                0.98479,                  0.952,                0.98253,                0.76941,                0.89263,                0.83552,                 1.3173,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.1038,                0.90931,                 1.4079,                0.98504,                0.96828,                0.98417,                0.76053,                0.90781,                 0.8164,                 1.3049,               0.005347,               0.005347,               0.005347
                     96,                  1.046,                0.83725,                 1.2774,                      1,                0.94053,                0.98575,                0.77447,                0.84471,                0.81992,                 1.2933,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.0668,                 0.8628,                 1.2812,                0.97007,                0.95324,                0.98551,                0.75102,                 0.8694,                0.85175,                 1.2936,               0.005248,               0.005248,               0.005248
                     98,                 1.1909,                0.97854,                 1.5149,                0.95203,                0.97059,                0.98572,                0.78365,                0.89564,                0.79271,                  1.288,              0.0051985,              0.0051985,              0.0051985
